Experiment Time (minutes),Reads,Basecalled Reads Passed,Basecalled Reads Failed,Basecalled Reads Skipped,Selected Raw Samples,Selected Events,Estimated Bases,Basecalled Bases,Basecalled Samples
101,36663,0,0,0,750766245,14651122,13169411,0,0
102,36960,0,0,0,756605510,14772164,13278218,0,0
103,37305,0,0,0,763841248,14915176,13406780,0,0
104,37611,0,0,0,770145793,15041694,13520509,0,0
105,37928,0,0,0,776868073,15161386,13628096,0,0
106,38270,0,0,0,783544238,15303372,13755729,0,0
107,38590,0,0,0,791321396,15474601,13909696,0,0
108,38894,0,0,0,798421710,15609137,14030643,0,0
109,39204,0,0,0,803897427,15717595,14128120,0,0
110,39512,0,0,0,811175480,15866413,14261913,0,0
111,39846,0,0,0,817921874,16001161,14383024,0,0
112,40170,0,0,0,823804556,16112032,14482657,0,0
113,40454,0,0,0,831577701,16270470,14625126,0,0
114,40760,0,0,0,841567787,16463608,14798815,0,0
115,41059,0,0,0,847045993,16571886,14896122,0,0
116,41323,0,0,0,853430596,16717141,15026733,0,0
117,41625,0,0,0,860504835,16869998,15164166,0,0
118,41924,0,0,0,866873967,16996436,15277829,0,0
119,42215,0,0,0,873733438,17127609,15395751,0,0
120,42517,0,0,0,880010519,17255544,15510759,0,0
121,42808,0,0,0,892445951,17525842,15753895,0,0
122,43055,0,0,0,897927483,17632970,15850201,0,0
123,43354,0,0,0,904899537,17784887,15986794,0,0
124,43631,0,0,0,910645089,17890994,16082166,0,0
125,43922,0,0,0,921487874,18097703,16268078,0,0
126,44196,0,0,0,927531245,18216276,16374670,0,0
127,44475,0,0,0,934538462,18346433,16491690,0,0
128,44744,0,0,0,941089804,18478621,16610534,0,0
129,45036,0,0,0,947106264,18598851,16718618,0,0
130,45292,0,0,0,953649184,18749086,16853723,0,0
131,45578,0,0,0,963705838,18972972,17055089,0,0
132,45838,0,0,0,971934894,19114617,17182453,0,0
133,46121,0,0,0,978103521,19223149,17279998,0,0
134,46412,0,0,0,990273730,19484197,17514811,0,0
135,46693,0,0,0,997208787,19595027,17614433,0,0
136,46983,0,0,0,1003832332,19749706,17753517,0,0
137,47252,0,0,0,1008953282,19853335,17846657,0,0
138,47539,0,0,0,1015125483,19979715,17960268,0,0
139,47796,0,0,0,1019683079,20064119,18036116,0,0
140,48052,0,0,0,1025632720,20197607,18156126,0,0
141,48310,0,0,0,1032646408,20346122,18289675,0,0
142,48575,0,0,0,1038421658,20452660,18385439,0,0
143,48816,0,0,0,1043974860,20567826,18488974,0,0
144,49087,0,0,0,1052075074,20736926,18641039,0,0
145,49373,0,0,0,1058875874,20891036,18779604,0,0
146,49618,0,0,0,1066875629,21061025,18932491,0,0
147,49887,0,0,0,1074558870,21219565,19075059,0,0
148,50123,0,0,0,1081086163,21328893,19173351,0,0
149,50341,0,0,0,1086588398,21459290,19290615,0,0
150,50596,0,0,0,1091307960,21546825,19369279,0,0
151,50866,0,0,0,1101896849,21789534,19587605,0,0
152,51139,0,0,0,1107984083,21911736,19697466,0,0
153,51389,0,0,0,1115831740,22038296,19811266,0,0
154,51631,0,0,0,1121046494,22131560,19895097,0,0
155,51860,0,0,0,1125980333,22220588,19975119,0,0
156,52077,0,0,0,1130327694,22300039,20046534,0,0
157,52296,0,0,0,1135470429,22395967,20132767,0,0
158,52523,0,0,0,1142494279,22534236,20257102,0,0
159,52770,0,0,0,1148181190,22647998,20359375,0,0
160,53021,0,0,0,1153554673,22759003,20459166,0,0
161,53249,0,0,0,1159580283,22892384,20579109,0,0
162,53484,0,0,0,1164183964,22988237,20665267,0,0
163,53737,0,0,0,1170031753,23104577,20769861,0,0
164,53971,0,0,0,1177290239,23262512,20911891,0,0
165,54196,0,0,0,1181707460,23348738,20989396,0,0
166,54430,0,0,0,1191074274,23548886,21169427,0,0
167,54653,0,0,0,1195968689,23643832,21254778,0,0
168,54865,0,0,0,1200232893,23730794,21332942,0,0
169,55094,0,0,0,1206965806,23870742,21458788,0,0
170,55306,0,0,0,1211638867,23965900,21544333,0,0
171,55526,0,0,0,1215873620,24052983,21622606,0,0
172,55745,0,0,0,1221649939,24170840,21728583,0,0
173,55922,0,0,0,1228298706,24289567,21835362,0,0
174,56147,0,0,0,1232890186,24383661,21919950,0,0
175,56357,0,0,0,1238287677,24491007,22016461,0,0
176,56562,0,0,0,1243258132,24592090,22107343,0,0
177,56765,0,0,0,1246929336,24666023,22173791,0,0
178,56984,0,0,0,1250574628,24733785,22234675,0,0
179,57185,0,0,0,1271513815,25074639,22541358,0,0
180,57367,0,0,0,1278295063,25224832,22676455,0,0
181,57586,0,0,0,1284351421,25331697,22772535,0,0
182,57784,0,0,0,1290161441,25451584,22880349,0,0
183,57992,0,0,0,1296113489,25566704,22983865,0,0
184,58206,0,0,0,1301208246,25672200,23078721,0,0
185,58418,0,0,0,1311956107,25912617,23294996,0,0
186,58547,0,0,0,1316297969,26001472,23374907,0,0
187,58559,0,0,0,1326901437,26272994,23619271,0,0
188,58634,0,0,0,1328032632,26296442,23640338,0,0
189,58682,0,0,0,1328682189,26308763,23651407,0,0
190,58915,0,0,0,1331984338,26372108,23708313,0,0
191,59170,0,0,0,1336510422,26459272,23786639,0,0
192,59412,0,0,0,1341488856,26555687,23873305,0,0
193,59665,0,0,0,1346698112,26666275,23972717,0,0
194,59898,0,0,0,1353616824,26804533,24097045,0,0
195,60168,0,0,0,1359730831,26916290,24197505,0,0
196,60393,0,0,0,1365324215,27035320,24304536,0,0
197,60618,0,0,0,1371793724,27161262,24417782,0,0
198,60836,0,0,0,1377336483,27277749,24522515,0,0
199,61071,0,0,0,1384621891,27425998,24655839,0,0
200,61276,0,0,0,1390441339,27534516,24753415,0,0
201,61506,0,0,0,1396365164,27647300,24854822,0,0
202,61721,0,0,0,1402475718,27776359,24970880,0,0
203,61924,0,0,0,1408877175,27911284,25092215,0,0
204,62172,0,0,0,1415229053,28037933,25206087,0,0
