Experiment Time (minutes),Reads,Basecalled Reads Passed,Basecalled Reads Failed,Basecalled Reads Skipped,Selected Raw Samples,Selected Events,Estimated Bases,Basecalled Bases,Basecalled Samples
106,1320,0,0,0,108898729,2398038,2157622,0,0
107,1331,0,0,0,109249438,2403793,2162796,0,0
108,1346,0,0,0,110273331,2429389,2185826,0,0
109,1357,0,0,0,111273688,2448759,2203254,0,0
110,1372,0,0,0,112133196,2464187,2217132,0,0
111,1387,0,0,0,115333318,2515086,2262935,0,0
112,1401,0,0,0,116901917,2550897,2295159,0,0
113,1414,0,0,0,118154728,2575712,2317487,0,0
114,1420,0,0,0,118478966,2582398,2323502,0,0
115,1428,0,0,0,118951496,2592901,2332952,0,0
116,1437,0,0,0,120489561,2635681,2371451,0,0
117,1450,0,0,0,120949249,2646012,2380742,0,0
118,1463,0,0,0,122036409,2671449,2403629,0,0
119,1471,0,0,0,122638425,2685408,2416187,0,0
120,1480,0,0,0,123262984,2699888,2429216,0,0
121,1485,0,0,0,123651329,2708441,2436912,0,0
122,1492,0,0,0,124247431,2721342,2448520,0,0
123,1504,0,0,0,124847294,2731446,2457608,0,0
124,1513,0,0,0,125375709,2739834,2465151,0,0
125,1530,0,0,0,126170640,2754451,2478300,0,0
126,1548,0,0,0,127257655,2775785,2497493,0,0
127,1556,0,0,0,128046342,2792869,2512865,0,0
128,1565,0,0,0,128304842,2797482,2517014,0,0
129,1577,0,0,0,129046824,2812993,2530969,0,0
130,1584,0,0,0,130586584,2848056,2562523,0,0
131,1591,0,0,0,131068557,2861427,2574554,0,0
132,1600,0,0,0,132377398,2884072,2594931,0,0
133,1614,0,0,0,133855839,2912928,2620895,0,0
134,1624,0,0,0,134298604,2923025,2629977,0,0
135,1636,0,0,0,135854148,2957805,2661274,0,0
136,1649,0,0,0,137369822,2992158,2692185,0,0
137,1662,0,0,0,138260922,3009411,2707705,0,0
138,1674,0,0,0,139036937,3025624,2722290,0,0
139,1688,0,0,0,140232941,3053991,2747814,0,0
140,1697,0,0,0,140520940,3059940,2753164,0,0
141,1700,0,0,0,140716460,3064041,2756853,0,0
142,1711,0,0,0,141571693,3080696,2771840,0,0
143,1732,0,0,0,142788532,3103043,2791944,0,0
