Experiment Time (minutes),Reads,Basecalled Reads Passed,Basecalled Reads Failed,Basecalled Reads Skipped,Selected Raw Samples,Selected Events,Estimated Bases,Basecalled Bases,Basecalled Samples
155,29028,0,0,0,634900074,12421481,11166260,0,0
156,29140,0,0,0,638160428,12485030,11223405,0,0
157,29243,0,0,0,641234998,12543173,11275681,0,0
158,29361,0,0,0,643943770,12600662,11327364,0,0
159,29477,0,0,0,646826216,12659536,11380296,0,0
160,29597,0,0,0,649318063,12712357,11427779,0,0
161,29699,0,0,0,652129083,12760042,11470652,0,0
162,29814,0,0,0,654660349,12814456,11519572,0,0
163,29933,0,0,0,658306736,12873440,11572604,0,0
164,30035,0,0,0,660114247,12910863,11606239,0,0
165,30125,0,0,0,663840657,12991363,11678651,0,0
166,30255,0,0,0,667677361,13055087,11735943,0,0
167,30374,0,0,0,670766240,13108318,11783800,0,0
168,30486,0,0,0,673153114,13154586,11825394,0,0
169,30606,0,0,0,676172254,13204248,11870036,0,0
170,30716,0,0,0,678317299,13240984,11903047,0,0
171,30832,0,0,0,680888902,13294966,11951582,0,0
172,30928,0,0,0,682973548,13334707,11987307,0,0
173,31039,0,0,0,684787557,13372815,12021553,0,0
174,31130,0,0,0,687236786,13424268,12067820,0,0
175,31224,0,0,0,688988033,13458348,12098450,0,0
176,31330,0,0,0,693490899,13535169,12167540,0,0
177,31437,0,0,0,695976689,13584910,12212256,0,0
178,31553,0,0,0,698091799,13625827,12249031,0,0
179,31659,0,0,0,700483712,13674829,12293088,0,0
180,31752,0,0,0,702527168,13718893,12332707,0,0
181,31857,0,0,0,707671424,13808796,12413570,0,0
182,31976,0,0,0,712321903,13890414,12486971,0,0
183,32074,0,0,0,715117906,13939273,12530902,0,0
184,32171,0,0,0,721856296,14020218,12603710,0,0
185,32276,0,0,0,725797604,14091052,12667414,0,0
186,32333,0,0,0,729495837,14144868,12715820,0,0
187,32342,0,0,0,729601311,14147006,12717740,0,0
188,32386,0,0,0,730302517,14161881,12731111,0,0
189,32463,0,0,0,731415357,14183547,12750578,0,0
190,32559,0,0,0,733509856,14226980,12789620,0,0
191,32672,0,0,0,736120436,14282418,12839462,0,0
192,32788,0,0,0,738870463,14338814,12890168,0,0
193,32925,0,0,0,742750429,14407171,12951625,0,0
194,33052,0,0,0,745697261,14466863,13005291,0,0
195,33159,0,0,0,748374288,14521360,13054288,0,0
196,33279,0,0,0,751960761,14589748,13115783,0,0
197,33390,0,0,0,754666823,14642619,13163322,0,0
198,33509,0,0,0,758629710,14718439,13231506,0,0
199,33631,0,0,0,760958193,14761994,13270646,0,0
200,33741,0,0,0,764565669,14833467,13334922,0,0
201,33875,0,0,0,768828984,14916309,13409419,0,0
202,33982,0,0,0,772323352,14981161,13467741,0,0
203,34093,0,0,0,774783073,15033583,13514873,0,0
204,34189,0,0,0,781273311,15177600,13644447,0,0
205,34293,0,0,0,784620188,15246703,13706596,0,0
206,34403,0,0,0,789743533,15364111,13812219,0,0
207,34505,0,0,0,791541136,15395485,13840409,0,0
208,34612,0,0,0,794575565,15456898,13895626,0,0
209,34720,0,0,0,797313030,15511775,13944973,0,0
210,34831,0,0,0,799858316,15563704,13991658,0,0
211,34950,0,0,0,802594360,15611085,14034245,0,0
212,35056,0,0,0,805384179,15659292,14077581,0,0
213,35170,0,0,0,807582458,15701728,14115721,0,0
214,35260,0,0,0,810376404,15744605,14154264,0,0
215,35366,0,0,0,813900027,15813150,14215905,0,0
216,35463,0,0,0,817764594,15894133,14288746,0,0
217,35569,0,0,0,821194946,15963185,14350847,0,0
218,35661,0,0,0,823902381,16020507,14402398,0,0
219,35759,0,0,0,826102022,16063578,14441121,0,0
220,35849,0,0,0,829316115,16133855,14504328,0,0
221,35952,0,0,0,833474798,16218501,14580466,0,0
222,36049,0,0,0,837944655,16300987,14654661,0,0
223,36146,0,0,0,839545220,16331852,14682396,0,0
224,36222,0,0,0,843083511,16388244,14733115,0,0
225,36315,0,0,0,845342259,16441187,14780725,0,0
226,36420,0,0,0,850068134,16541009,14870519,0,0
227,36506,0,0,0,852513609,16583030,14908303,0,0
228,36601,0,0,0,855343874,16650987,14969419,0,0
229,36696,0,0,0,857179715,16690233,15004696,0,0
230,36798,0,0,0,860647395,16745741,15054607,0,0
231,36898,0,0,0,862892818,16787515,15092161,0,0
232,36972,0,0,0,864514191,16822804,15123890,0,0
233,37056,0,0,0,867305317,16878372,15173863,0,0
234,37162,0,0,0,870292896,16940449,15229685,0,0
235,37246,0,0,0,874483476,17035461,15315160,0,0
236,37327,0,0,0,879805543,17106142,15378736,0,0
237,37406,0,0,0,885380746,17241196,15500253,0,0
238,37490,0,0,0,890869119,17336330,15585836,0,0
239,37591,0,0,0,894322589,17405339,15647896,0,0
240,37678,0,0,0,896108264,17436785,15676157,0,0
241,37762,0,0,0,898108126,17478963,15714083,0,0
242,37867,0,0,0,902447957,17543418,15772051,0,0
243,37945,0,0,0,904885243,17598064,15821194,0,0
244,38035,0,0,0,906672361,17634195,15853673,0,0
245,38121,0,0,0,912578356,17759171,15966118,0,0
246,38208,0,0,0,913979963,17785365,15989651,0,0
247,38286,0,0,0,916781345,17834636,16033963,0,0
248,38365,0,0,0,918699447,17877387,16072403,0,0
249,38434,0,0,0,920479892,17921967,16112497,0,0
250,38526,0,0,0,926687841,18007381,16189325,0,0
251,38610,0,0,0,928194757,18038852,16217610,0,0
252,38679,0,0,0,930278421,18082768,16257099,0,0
253,38766,0,0,0,932488002,18124191,16294342,0,0
254,38844,0,0,0,934152608,18159016,16325653,0,0
255,38928,0,0,0,942498097,18349289,16496861,0,0
256,39017,0,0,0,945668703,18413883,16554953,0,0
257,39107,0,0,0,947355619,18449488,16586954,0,0
258,39192,0,0,0,949458467,18493911,16626899,0,0
259,39275,0,0,0,951482456,18534369,16663275,0,0
260,39347,0,0,0,953249309,18568872,16694298,0,0
261,39421,0,0,0,955256632,18616335,16736982,0,0
262,39495,0,0,0,956780743,18643198,16761126,0,0
263,39574,0,0,0,965927818,18828511,16927868,0,0
264,39643,0,0,0,968715219,18872615,16967531,0,0
265,39732,0,0,0,974164514,18986317,17069820,0,0
266,39804,0,0,0,976046264,19029307,17108478,0,0
267,39887,0,0,0,977719266,19064945,17140514,0,0
268,39965,0,0,0,979730546,19110477,17181463,0,0
269,40045,0,0,0,982177959,19157710,17223937,0,0
270,40126,0,0,0,983907002,19198160,17260306,0,0
271,40211,0,0,0,990545699,19283499,17337074,0,0
